01:57:25.393 [INFO]   [Bot] Inicializando bot... 
01:57:25.394 [INFO]   [Bot] Inicializando banco de dados... 
01:57:25.398 [SUCCESS] [DB] Banco de dados inicializado com sucesso. 
01:57:25.398 [SUCCESS] [Bot] Banco de dados inicializado. 
01:57:25.398 [INFO]   [Bot] Autenticando Mercado Bitcoin... 
2026-01-06T01:57:25.398Z [INFO]   API_KEY: bdb29a91...
2026-01-06T01:57:25.398Z [INFO]   API_SECRET: e14075f1...
2026-01-06T01:57:32.110Z [INFO]   Account ID: f02d1506...
2026-01-06T01:57:32.110Z [INFO]   Access Token: eyJhbGci...
2026-01-06T01:57:32.111Z [SUCCESS] Authentication OK - Token expires in 59 minutes
01:57:32.111 [SUCCESS] [Bot] Autenticado com sucesso. 
01:57:32.111 [INFO]   [Bot] Iniciando warmup com velas históricas para evitar decisões ruins iniciais. 
01:57:32.572 [INFO]   [Bot] Buscadas 88 velas históricas válidas. 
01:57:32.573 [SUCCESS] [Bot] Warmup completo com 60 velas históricas. 
01:57:32.573 [INFO]   [Bot] Carregando fills históricos... 
01:57:32.574 [INFO]   [DB] Carregados 7 fills históricos. 
01:57:32.574 [SUCCESS] [Bot] Carregados 7 fills históricos. 
01:57:32.574 [INFO]   [Bot] Iniciando loop principal. 
01:57:32.575 [INFO]   [Bot] Iniciando ciclo 1. 
01:57:33.430 [SUCCESS] [Bot] Orderbook atualizado: Best Bid=507470.00, Best Ask=507852.00. 
01:57:33.431 [INFO]   [Bot] Volatilidade calculada: 2.50%. 
01:57:33.431 [DEBUG]  [Bot] Volatilidade no ciclo 1: 2.50% 
01:57:33.431 [INFO]   [Bot] RSI calculado: 43.77. 
01:57:33.431 [INFO]   [Bot] EMA(8) calculada: 507706.91. 
01:57:33.431 [INFO]   [Bot] EMA(20) calculada: 508170.61. 
01:57:33.431 [INFO]   [Bot] EMA(12) calculada: 507768.11. 
01:57:33.431 [INFO]   [Bot] EMA(26) calculada: 508239.80. 
01:57:33.431 [INFO]   [Bot] EMA(9) calculada: 507707.67. 
01:57:33.431 [INFO]   [Bot] MACD calculado: MACD=-471.69, Signal=507707.67. 
01:57:33.432 [INFO]   [Bot] Volatilidade calculada: 2.50%. 
01:57:33.432 [INFO]   [Bot] Análise fills históricos: Bias=0.00%, Sucesso=57.14%, PnL médio=5.85. 
01:57:33.432 [INFO]   [Bot] Previsão de preço | {"trend":"down","confidence":"215.72","expectedProfit":"0.00","rsi":"43.77","emaShort":"507706.91","emaLong":"508170.61"...
01:57:33.432 [INFO]   [Bot] Viés de inventário: 0.000000. 
