01:58:58.759 [INFO]   [Bot] Inicializando bot... 
01:58:58.761 [INFO]   [Bot] Inicializando banco de dados... 
01:58:58.764 [SUCCESS] [DB] Banco de dados inicializado com sucesso. 
01:58:58.764 [SUCCESS] [Bot] Banco de dados inicializado. 
01:58:58.765 [INFO]   [Bot] Autenticando Mercado Bitcoin... 
2026-01-06T01:58:58.765Z [INFO]   API_KEY: bdb29a91...
2026-01-06T01:58:58.765Z [INFO]   API_SECRET: e14075f1...
2026-01-06T01:59:00.787Z [INFO]   Account ID: f02d1506...
2026-01-06T01:59:00.787Z [INFO]   Access Token: eyJhbGci...
2026-01-06T01:59:00.787Z [SUCCESS] Authentication OK - Token expires in 59 minutes
01:59:00.787 [SUCCESS] [Bot] Autenticado com sucesso. 
01:59:00.787 [INFO]   [Bot] Iniciando warmup com velas históricas para evitar decisões ruins iniciais. 
01:59:01.178 [INFO]   [Bot] Buscadas 88 velas históricas válidas. 
01:59:01.178 [SUCCESS] [Bot] Warmup completo com 60 velas históricas. 
01:59:01.178 [INFO]   [Bot] Carregando fills históricos... 
01:59:01.179 [INFO]   [DB] Carregados 7 fills históricos. 
01:59:01.179 [SUCCESS] [Bot] Carregados 7 fills históricos. 
01:59:01.179 [INFO]   [Bot] Iniciando loop principal. 
01:59:01.180 [INFO]   [Bot] Iniciando ciclo 1. 
01:59:01.569 [SUCCESS] [Bot] Orderbook atualizado: Best Bid=507470.00, Best Ask=507828.00. 
01:59:01.569 [INFO]   [Bot] Volatilidade calculada: 2.50%. 
01:59:01.569 [DEBUG]  [Bot] Volatilidade no ciclo 1: 2.50% 
01:59:01.570 [INFO]   [Bot] RSI calculado: 42.41. 
01:59:01.570 [INFO]   [Bot] EMA(8) calculada: 507607.26. 
01:59:01.570 [INFO]   [Bot] EMA(20) calculada: 508079.13. 
01:59:01.570 [INFO]   [Bot] EMA(12) calculada: 507814.10. 
01:59:01.570 [INFO]   [Bot] EMA(26) calculada: 508177.65. 
01:59:01.570 [INFO]   [Bot] EMA(9) calculada: 507689.95. 
01:59:01.570 [INFO]   [Bot] MACD calculado: MACD=-363.55, Signal=507689.95. 
01:59:01.570 [INFO]   [Bot] Volatilidade calculada: 2.50%. 
01:59:01.570 [INFO]   [Bot] Análise fills históricos: Bias=0.00%, Sucesso=57.14%, PnL médio=5.85. 
01:59:01.570 [INFO]   [Bot] Previsão de preço | {"trend":"down","confidence":"279.75","expectedProfit":"0.00","rsi":"42.41","emaShort":"507607.26","emaLong":"508079.13"...
01:59:01.571 [INFO]   [Bot] Viés de inventário: 0.000000. 
01:59:02.170 [WARN]   [Bot] Saldo BTC muito baixo (0.00000004 < 0.00000600). Apenas ordens de compra serão colocadas. 
01:59:02.170 [INFO]   [Bot] Score de lucro baixo (0.00 < 0.005). Não colocando ordens. 
01:59:02.170 [ALERT]  [Bot] PnL baixo: 0.09 BRL (limite: 50). Verifique a estratégia! 
01:59:02.170 [INFO]   [Bot] ────────────── Mini Dashboard ────────────── 
01:59:02.171 [INFO]   [Bot] Ciclo: 1 | Mid Price: 507649.00 | Tendência: down 
01:59:02.171 [INFO]   [Bot] RSI: 42.41 | EMA Curta: 507607.26 | EMA Longa: 508079.13 
01:59:02.171 [INFO]   [Bot] MACD: N/A | Signal: N/A | Volatilidade: 2.50% 
