t,o,h,l,c,v
1724505300,353372.85885566,353372.85885566,353372.85885566,353372.85885566,0.00001363
1724505360,353530.19577682,353530.19577682,353530.19577682,353530.19577682,0.00029259
1724505480,353376.41350217,353376.41350217,353315.74261983,353376.40999998,0.00110136
1724505540,353312.41261984,353312.41261984,353275.41132004,353282.65366044,0.01041824
1724505660,353327.75875910,353327.75875910,353327.67426463,353327.75875910,0.00003222
1724505720,353376.40999999,353376.40999999,353365.83916844,353376.40999999,0.00002850
1724505780,353362.76024159,353362.76024159,353362.76024159,353362.76024159,0.00001915
1724505840,353362.76024159,353362.76024159,353362.76024159,353362.76024159,0.00001647
1724505900,353362.76024159,353376.41000000,353362.76024159,353376.41000000,0.02913940
1724505960,353412.84880144,353547.74543197,353412.84880144,353537.75543194,0.00842634
1724506020,353537.75543193,353537.75543193,353537.75543193,353537.75543193,0.02983067
1724506200,353422.83000006,353422.83000006,353412.84000001,353412.84000001,0.00589841
1724506260,353555.65875643,353599.99999997,353555.65875643,353580.63050785,0.00573433
1724506320,353580.63050785,353923.00000000,353580.63050785,353923.00000000,0.07803846
1724506380,353600.61050797,353750.09628977,353590.62050791,353750.09628977,0.00084966
1724506440,353727.89915002,353727.89915003,353727.89915002,353727.89915003,0.00113640
1724506500,353641.60119578,353658.25119584,353641.60119578,353658.25119584,0.02964794
1724506560,353668.24119587,353996.67000000,353668.24119587,353996.67000000,0.00042401
1724506620,353684.89119591,353996.67000000,353684.89119591,353718.65452351,0.00172466
1724506680,353747.36738850,353996.66999999,353718.65000001,353993.33999999,0.00584630
1724506740,353728.64000004,353996.66999999,353718.65000001,353996.66999999,0.00705802
1724506860,353721.98000001,353721.98000001,353718.65000000,353718.65000002,0.03333005
1724506920,353718.65000002,353790.63000000,353718.65000001,353718.65000001,0.04959049
1724506980,353718.65000001,353718.65000001,353135.34000001,353135.34000001,0.05645777
1724507040,353598.40691958,353621.87404913,353598.40691958,353621.87404913,0.00000565
1724507100,353671.19000000,353786.96888341,353671.19000000,353777.70109158,0.01045469
1724507160,353287.95000016,353287.95000016,353287.95000016,353287.95000016,0.00000840
1724507220,353568.32738911,353943.00000000,353568.32738911,353579.49216618,0.09980622
1724507280,353427.44372910,353680.33999999,353290.84168288,353293.74798599,0.01103863
1724507340,353293.74798600,353293.74798600,353286.40321968,353293.74798600,0.01637872
1724507400,353470.82710448,353645.67828662,353470.82710448,353627.64269903,0.00007833
1724507460,353621.30031691,353901.00000000,353562.77526062,353572.97362931,0.04080353
1724507520,353549.71592483,353897.67000000,353549.71592483,353894.34000000,0.00283620
1724507580,353669.47351106,353669.47351106,353669.47351106,353669.47351106,0.00014137
1724507700,353669.05794874,353669.05794874,353669.05794874,353669.05794874,0.00328227
1724507820,353759.19760036,353759.19760036,353759.19760036,353759.19760036,0.00286132
1724507880,353859.65683480,353859.65683480,353784.24420063,353784.24420063,0.00013984
1724507940,353921.85676522,353921.85676522,353921.85676522,353921.85676522,0.00001027
1724508000,353966.70775272,353968.10356268,353881.27494083,353881.27494083,0.00083717
1724508060,353930.12198457,353939.17527930,353930.12198457,353936.30453279,0.00100715
1724508120,353936.30453281,353936.30453281,353785.52483803,353785.52483803,0.00375827
1724508180,353760.53756217,353976.33999998,353760.53756217,353783.51755115,0.00058999
1724508240,353798.86996083,353798.86996083,353798.86996083,353798.86996083,0.00013650
1724508300,353851.98293206,353863.15901437,353851.98293206,353863.15901437,0.00011515
1724508360,353834.02339319,353834.02339319,353834.02339319,353834.02339319,0.00001352
1724508420,353834.02339319,353834.02339319,353787.41239360,353798.34805059,0.00014555
1724508480,353796.47467064,353976.33999999,353796.47467064,353843.00000001,0.00699943
1724508600,353843.00000002,353843.00000002,353843.00000001,353843.00000002,0.00026136
